Access_to_electricity_(%_of_population),Access_to_clean_fuels_for_cooking,Renewable_energy_share_in_the_total_final_energy_consumption_(%),Electricity_from_fossil_fuels_(TWh),Electricity_from_renewables_(TWh),Electricity_from_nuclear_(TWh),Low-carbon_electricity_(%_electricity),Primary_energy_consumption_per_capita_(kWh-person),Energy_intensity_level_of_primary_energy_(MJ-$2017_PPP_GDP),Value_co2_emissions_kt_by_country,gdp_per_capita,Density-n(P-Km2),Land_Area(Km2)
1.613591,6.2,44.99,0.16,0.31,0.0,65.95744,302.59482,1.64,760.0,4578.633208,60,652230.0
4.074574,7.2,45.6,0.09,0.5,0.0,84.745766,236.89185,1.74,730.0,4578.633208,60,652230.0
9.409158,8.2,37.83,0.13,0.56,0.0,81.159424,210.86215,1.4,1029.999971,179.4265792,60,652230.0
14.738506,9.5,36.66,0.31,0.63,0.0,67.02128,229.96822,1.4,1220.000029,190.6838143,60,652230.0
20.064968,10.9,44.24,0.33,0.56,0.0,62.92135,204.23125,1.2,1029.999971,211.3820742,60,652230.0
25.390894,12.2,33.88,0.34,0.59,0.0,63.440857,252.06912,1.41,1549.999952,242.0313132,60,652230.0
30.71869,13.85,31.89,0.2,0.64,0.0,76.190475,304.4209,1.5,1759.99999,263.7336019,60,652230.0
36.05101,15.3,28.78,0.2,0.75,0.0,78.94737,354.2799,1.53,1769.999981,359.6931579,60,652230.0
42.4,16.7,21.17,0.19,0.54,0.0,73.9726,607.8335,1.94,3559.999943,364.663542,60,652230.0
46.74005,18.4,16.53,0.16,0.78,0.0,82.97872,975.04816,2.25,4880.000114,437.2687402,60,652230.0
42.7,20.0,15.15,0.19,0.75,0.0,79.78723,1182.892,2.46,7110.000134,543.3065262,60,652230.0
43.22202,21.8,12.61,0.18,0.6,0.0,76.92309,1436.1143,3.23,8930.000305,591.1900302,60,652230.0
69.1,23.0,15.36,0.14,0.74,0.0,84.09091,1324.1211,2.61,8079.999924,638.8458516,60,652230.0
68.29065,24.8,16.86,0.22,0.89,0.0,80.180176,1060.7926,2.46,5989.999771,624.3154545,60,652230.0
89.5,26.1,18.93,0.16,1.0,0.0,86.2069,868.5762,2.25,4880.000114,614.2233424,60,652230.0
71.5,27.4,17.53,0.15,1.03,0.0,87.28814,970.0803,2.37,5949.999809,556.0072209,60,652230.0
97.7,28.6,19.92,0.15,1.06,0.0,87.603294,862.79114,2.24,5300.000191,512.0127781,60,652230.0
97.7,29.7,19.21,0.18,1.09,0.0,85.826775,829.31195,2.3,4780.00021,516.6798622,60,652230.0
96.616135,30.9,17.96,0.2,0.97,0.0,82.90598,924.25085,2.44,6070.000172,485.6684187,60,652230.0
97.7,31.9,18.51,0.18,0.89,0.0,83.17757,802.61255,2.41,6079.999924,494.1793499,60,652230.0
97.7,33.2,23.3,0.12,0.68,0.0,85.0,702.888,4.3,10500.0,516.7478708,60,652230.0
100.0,38.2,23.3,0.14,4.55,0.0,97.01493,9029.4375,4.13,3170.0,1126.68334,105,28748.0
100.0,40.5,23.3,0.13,3.52,0.0,96.438354,8635.532,3.89,3230.0,1281.659826,105,28748.0
100.0,43.2,23.3,0.16,3.48,0.0,95.60439,9443.555,4.1,3759.99999,1425.124219,105,28748.0
100.0,46.4,23.3,0.1,5.12,0.0,98.0843,10756.612,3.8,4070.000172,1846.120121,105,28748.0
100.0,49.0,23.3,0.13,5.41,0.0,97.65343,11586.951,3.96,4250.0,2373.581292,105,28748.0
100.0,51.9,23.3,0.07,5.32,0.0,98.7013,11545.616,3.75,4030.00021,2673.786584,105,28748.0
100.0,54.8,23.3,0.09,4.95,0.0,98.21428,10976.728,3.46,4010.000229,2972.742924,105,28748.0
100.0,58.1,23.3,0.07,2.76,0.0,97.526505,9534.874,3.12,4139.999866,3595.038057,105,28748.0
100.0,60.8,23.3,0.07,3.76,0.0,98.172325,10499.328,3.01,4079.999924,4370.539925,105,28748.0
100.0,63.6,23.3,0.0,5.2,0.0,100.0,11524.428,2.98,4219.99979,4114.134899,105,28748.0
100.0,66.5,23.3,0.0,7.49,0.0,100.0,12377.504,2.85,4449.999809,4094.348386,105,28748.0
100.0,68.9,23.3,0.06,4.09,0.0,98.554214,10854.649,2.91,4849.999905,4437.142612,105,28748.0
99.9,71.3,23.3,0.0,4.68,0.0,100.0,10652.809,2.57,4360.000134,4247.630047,105,28748.0
